 * ABOUT        XMRig/6.25.0 gcc/13.2.1 (built for Linux x86-64, 64 bit)
 * LIBS         libuv/1.51.0 OpenSSL/3.0.16 hwloc/2.12.1
 * HUGE PAGES   supported
 * 1GB PAGES    disabled
 * CPU          AMD EPYC-Milan Processor (1) 64-bit AES VM
                L2:0.5 MB L3:32.0 MB 1C/2T NUMA:1
 * MEMORY       1.3/1.8 GB (73%)
 * DONATE       1%
 * ASSEMBLY     auto:ryzen
 * POOL #1      pool.supportxmr.com:3333 algo auto
 * COMMANDS     'h' hashrate, 'p' pause, 'r' resume, 's' results, 'c' connection
[2026-01-17 21:50:31.297]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (4 tx)
[2026-01-17 21:50:35.508]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (10 tx)
[2026-01-17 21:50:45.790]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (13 tx)
[2026-01-17 21:50:48.022]  net      new job from pool.supportxmr.com:3333 diff 108871 algo rx/0 height 3590057 (13 tx)
[2026-01-17 21:50:55.804]  net      new job from pool.supportxmr.com:3333 diff 108871 algo rx/0 height 3590057 (18 tx)
[2026-01-17 21:51:05.837]  net      new job from pool.supportxmr.com:3333 diff 108871 algo rx/0 height 3590057 (22 tx)
[2026-01-17 21:51:14.438]  miner    speed 10s/60s/15m 34.12 30.37 32.38 H/s max 36.18 H/s
[2026-01-17 21:51:15.891]  net      new job from pool.supportxmr.com:3333 diff 108871 algo rx/0 height 3590057 (23 tx)
[2026-01-17 21:51:25.896]  net      new job from pool.supportxmr.com:3333 diff 108871 algo rx/0 height 3590057 (26 tx)
[2026-01-17 21:51:36.181]  net      new job from pool.supportxmr.com:3333 diff 108871 algo rx/0 height 3590057 (29 tx)
[2026-01-17 21:51:46.231]  net      new job from pool.supportxmr.com:3333 diff 108871 algo rx/0 height 3590057 (32 tx)
[2026-01-17 21:51:48.039]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590057 (32 tx)
